Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-UWW5WF,49950,38,LinkedIn,Story,35-44,Female,UK,45953,4542,91.997997997998,1.0869801753966009,9.88401192522795,1
CAMP-CPKJCS,26836,47,Facebook,Carousel,55+,Female,UK,40985,3258,152.72395289909076,0.6547761376113213,7.949249725509333,1
CAMP-LQC3C5,28773,26,YouTube,Carousel,55+,Female,Germany,29525,1998,102.61356132485315,0.9745300592718036,6.76714648602879,1
CAMP-4WSQT2,37605,54,LinkedIn,Carousel,18-24,Male,UK,40266,4870,107.07618667730354,0.9339144687825958,12.094571102170566,1
CAMP-6Q3XLR,47423,58,Facebook,Image,18-24,Female,Canada,19453,1562,41.020180081395104,2.437824500077109,8.029609828818177,1
CAMP-FCD6MZ,46745,17,YouTube,Story,18-24,Female,Germany,3731,4007,7.98160231040753,12.52881265076387,107.39748056821227,1
CAMP-SGIPPS,954,31,Instagram,Text,35-44,All,UK,26069,1676,2732.5995807127883,0.036595189688902525,6.429092025010549,1
CAMP-FNKOMV,24648,10,Facebook,Video,45-54,All,US,27636,1123,112.12268743914314,0.8918801563178463,4.063540309740918,1
CAMP-2XCDYK,38723,7,Google,Video,18-24,Male,India,49774,3982,128.53859463368025,0.777976453570137,8.000160726483706,1
CAMP-0X65MU,7492,31,Facebook,Carousel,18-24,All,India,42342,1302,565.1628403630539,0.1769401539842237,3.07496103159983,1
CAMP-FM8ZOV,46817,49,Facebook,Story,25-34,Female,India,37571,944,80.25076361150863,1.2460940619094514,2.5125761890820044,1
CAMP-7LN23Y,21656,6,YouTube,Image,35-44,All,Germany,39900,4551,184.2445511636498,0.5427568922305764,11.406015037593985,1
CAMP-30YSXP,38659,14,Instagram,Story,18-24,Male,UK,36820,946,95.2430223233917,1.049945681694731,2.5692558392178166,1
CAMP-NNGH8R,26409,47,Google,Story,25-34,All,Germany,5679,601,21.504032716119507,4.650290544109878,10.582849093150202,1
CAMP-IEC4D1,22019,4,LinkedIn,Image,55+,All,Canada,27760,2701,126.07293700894682,0.7931916426512968,9.729827089337176,1
CAMP-45BM1E,5031,29,LinkedIn,Carousel,18-24,Male,US,30378,4821,603.8163387000596,0.16561327276318388,15.870037527157812,1
CAMP-NF313F,33070,33,Facebook,Story,18-24,Male,US,12328,1418,37.278500151194436,2.6825113562621676,11.502271252433486,1
CAMP-POYIPK,44315,53,YouTube,Video,25-34,Female,India,8467,1525,19.10639738237617,5.233849061060588,18.01110192512106,1
CAMP-0QTL3Q,12788,53,YouTube,Image,35-44,All,India,34815,3767,272.24741945573976,0.3673129398247882,10.820048829527503,1
CAMP-4N89QK,25442,38,LinkedIn,Text,18-24,Female,India,9013,251,35.42567408222624,2.822811494507933,2.784866304227227,1
CAMP-NS832E,37257,38,Google,Carousel,55+,All,UK,48602,1545,130.45065356845694,0.7665733920414798,3.178881527509156,1
CAMP-JX5TD4,2427,28,Instagram,Image,18-24,All,Canada,37342,79,1538.607334157396,0.06499384071554817,0.21155803117133523,0
CAMP-4K1J6F,40872,45,Google,Text,55+,Female,Canada,25059,3124,61.31092190252495,1.6310307673889621,12.466578873857696,1
CAMP-P8HQMA,40645,29,Instagram,Text,45-54,All,Canada,27725,898,68.2125722721122,1.466005410279531,3.2389540126239855,1
CAMP-BSI9NB,297,7,LinkedIn,Story,45-54,All,Canada,36225,4877,12196.969696969696,0.008198757763975155,13.463077984817115,1
CAMP-74X2EK,23609,22,Instagram,Story,55+,All,India,6781,226,28.7220975051887,3.4816398761244653,3.3328417637516585,1
CAMP-3ZEZQA,34798,13,YouTube,Story,35-44,Male,US,40613,1210,116.71073050175298,0.8568192450693127,2.979341590131239,1
CAMP-CJ4T0S,44642,12,Facebook,Image,18-24,Female,India,11382,4899,25.49616952645491,3.9221577930065017,43.04164470216131,1
CAMP-EKKBP2,15187,42,Facebook,Image,18-24,Male,Canada,19227,4838,126.60169882136036,0.7898788162479846,25.162531856243824,1
CAMP-QD6VAS,22771,40,LinkedIn,Carousel,45-54,Female,India,23768,2179,104.3783760045672,0.9580528441602154,9.167788623359138,1
CAMP-IFPWIO,25284,8,YouTube,Story,55+,Female,Canada,2961,2680,11.710963455149502,8.539007092198581,90.50996285038838,1
CAMP-XD9CSS,27948,10,Google,Text,18-24,All,Germany,18849,2886,67.44310863031345,1.482731179372911,15.311157090561833,1
CAMP-9TOQW9,42207,25,YouTube,Video,18-24,Female,US,49452,2807,117.16539910441396,0.8534942975006067,5.676211275580361,1
CAMP-JA2M0W,20766,49,Facebook,Carousel,35-44,Male,Germany,15244,704,73.40845613021285,1.3622408816583573,4.618210443453162,1
CAMP-10LBT3,44457,28,Facebook,Image,25-34,Male,UK,5001,2545,11.249072137121264,8.889622075584883,50.88982203559288,1
CAMP-G2QZW3,15808,48,YouTube,Carousel,45-54,Male,India,40916,2371,258.83097165991904,0.38635252712875157,5.794799100596344,1
CAMP-C1QKBH,26470,45,YouTube,Carousel,45-54,Female,UK,28383,3282,107.22704948998867,0.932600500299475,11.563259697706375,1
CAMP-B7S9TJ,49911,14,Facebook,Carousel,25-34,Male,India,21723,4711,43.52347177976799,2.2976108272338074,21.68669152511163,1
CAMP-1GM25L,2911,28,Google,Carousel,18-24,Female,Germany,48935,329,1681.0374441772587,0.05948707469091652,0.6723204250536425,0
CAMP-EN606N,47111,15,LinkedIn,Video,35-44,Male,Canada,40920,4229,86.85869542145147,1.151295210166178,10.334799608993157,1
CAMP-9RR7S2,6646,42,LinkedIn,Story,35-44,Male,Canada,5615,4931,84.48690941919952,1.1836153161175422,87.81834372217276,1
CAMP-0CV3TL,34854,20,YouTube,Text,45-54,Female,India,22871,121,65.6194410971481,1.5239386122163439,0.529054260854357,0
CAMP-CXLVPY,30306,27,LinkedIn,Carousel,35-44,Male,Canada,25544,965,84.28693987989178,1.1864234262449107,3.777795176949577,1
CAMP-MB5M9J,41206,35,Facebook,Carousel,25-34,All,Germany,33991,4225,82.49041401737611,1.2122620693713042,12.429760819040334,1
CAMP-98CWN2,11511,49,Facebook,Carousel,18-24,Female,Canada,8674,3676,75.3540092085831,1.3270694028130043,42.379525017293055,1
CAMP-Y8FV2B,3011,42,YouTube,Story,25-34,Female,Germany,47212,2077,1567.9840584523415,0.06377615860374482,4.399305261374227,1
CAMP-C2NNUV,1834,45,YouTube,Image,55+,Female,UK,46074,333,2512.2137404580153,0.03980553023397144,0.7227503581195468,0
CAMP-Y8N1UT,18327,14,YouTube,Image,45-54,All,Germany,885,3369,4.828940906858733,20.708474576271186,380.67796610169495,0
CAMP-OXIE0R,8780,46,Google,Video,35-44,Female,US,18696,1317,212.93849658314352,0.4696191698759093,7.044287548138639,1
CAMP-NUJJQ9,19460,38,LinkedIn,Image,55+,Male,US,11874,1197,61.0174717368962,1.6388748526191679,10.080848913592725,1
CAMP-K6RE4Q,18443,50,YouTube,Carousel,35-44,Male,US,37385,3171,202.70563357371358,0.49332620034773306,8.482011501939281,1
CAMP-6QDY4L,5859,6,Instagram,Carousel,18-24,Male,India,3865,1430,65.96688854753371,1.5159120310478655,36.99870633893919,1
CAMP-MCT64Z,23178,7,Instagram,Carousel,18-24,Female,India,49448,356,213.34023643109848,0.4687348325513671,0.7199482284419997,0
CAMP-7W2SEH,35253,58,Facebook,Video,18-24,Male,India,2479,4235,7.03202564320767,14.220653489310205,170.8350141185962,1
CAMP-E2ATN2,11211,39,LinkedIn,Carousel,35-44,Female,Germany,42000,1527,374.63205780037464,0.2669285714285714,3.6357142857142857,1
CAMP-TWDL9Z,37604,10,YouTube,Image,55+,Male,India,41936,3898,111.52005105839804,0.896699732926364,9.29511636779855,1
CAMP-S13C9X,1902,44,Instagram,Story,18-24,All,UK,44448,29,2336.9085173501576,0.04279157667386609,0.0652447804175666,0
CAMP-QYM52X,8255,51,LinkedIn,Story,55+,All,US,2657,1014,32.18655360387644,3.106887467068122,38.16334211516748,1
CAMP-G8P6BE,8220,30,Facebook,Text,35-44,All,Germany,25700,2703,312.65206812652065,0.31984435797665367,10.517509727626459,1
CAMP-FFLZM7,39484,33,Google,Image,55+,All,US,38748,828,98.13595380407254,1.018994528749871,2.136884484360483,1
CAMP-64JWTE,47125,60,LinkedIn,Carousel,35-44,Female,India,32403,4447,68.75968169761273,1.4543406474709133,13.72403789772552,1
CAMP-KTSG7F,47354,11,LinkedIn,Story,35-44,Male,Germany,36840,2025,77.79701820331968,1.2853963083604778,5.4967426710097715,1
CAMP-XZV4U3,22018,56,Google,Image,45-54,All,Canada,12041,299,54.687074212008355,1.8285856656423884,2.4831824599285772,1
CAMP-BBXUX1,20545,53,LinkedIn,Story,35-44,Female,UK,21218,1866,103.27573618885373,0.9682816476576491,8.794419832217928,1
CAMP-OXRWK8,30406,31,Facebook,Carousel,35-44,All,India,31149,4017,102.44359665855423,0.9761469068027866,12.89608013098334,1
CAMP-R2YKCC,16746,16,Facebook,Story,25-34,All,India,39435,2112,235.48907201719814,0.42464815519208826,5.355648535564853,1
CAMP-PRHVLZ,46943,42,Google,Text,18-24,Female,UK,35969,755,76.62271265151354,1.305096054936195,2.099029720036698,1
CAMP-049ENU,31165,43,YouTube,Text,45-54,Female,UK,31466,770,100.96582704957484,0.9904341193669357,2.4470857433420203,1
CAMP-LQJIDK,25299,24,Instagram,Story,45-54,Male,Canada,5630,3736,22.253844025455553,4.49360568383659,66.35879218472469,1
CAMP-NWI5FL,42076,13,YouTube,Image,45-54,Male,India,7104,1239,16.88373419526571,5.92286036036036,17.44087837837838,1
CAMP-UL1RSR,16471,25,LinkedIn,Image,25-34,All,India,24140,4930,146.56062169874323,0.682311516155758,20.422535211267608,1
CAMP-LA8S8H,11935,3,Instagram,Image,35-44,All,US,40437,2214,338.8102220360285,0.29515048099512825,5.475183618962831,1
CAMP-MBR5XQ,46036,48,Google,Story,18-24,Male,Germany,15873,1907,34.47953775306282,2.9002709002709004,12.014112014112015,1
CAMP-T4P501,2149,39,Google,Image,55+,Male,Germany,46065,1565,2143.5551419264775,0.04665147074785629,3.3973732768913494,1
CAMP-NOUHTC,31716,23,Instagram,Carousel,35-44,Female,US,37391,1219,117.89317694539034,0.848225508812281,3.260142815115937,1
CAMP-S1K9YE,38291,28,Facebook,Text,25-34,Male,Germany,15389,4602,40.18960068945705,2.4882058613295213,29.90447722399116,1
CAMP-9O2M71,47457,48,Instagram,Carousel,35-44,Male,UK,3541,1358,7.461491455422804,13.402146286359786,38.35074837616492,1
CAMP-HSSBEL,21032,38,LinkedIn,Image,35-44,All,Germany,756,3840,3.594522632179536,27.82010582010582,507.9365079365079,0
CAMP-RQVSLW,29955,56,Facebook,Carousel,25-34,Male,Germany,32007,1461,106.85027541311969,0.9358890242759397,4.56462648795576,1
CAMP-F90KM3,7258,25,Google,Image,45-54,All,US,15778,3986,217.38771011297877,0.46000760552668274,25.26302446444416,1
CAMP-TZK3NY,43116,59,Instagram,Story,45-54,Male,Canada,7047,1417,16.34428054550515,6.118348233290762,20.107847310912444,1
CAMP-9V20YA,7500,3,YouTube,Carousel,18-24,Female,Germany,38051,2854,507.34666666666664,0.19710388688864944,7.500459909069407,1
CAMP-R821UZ,42742,56,YouTube,Story,18-24,Male,Germany,38573,4857,90.24612793037294,1.108080781894071,12.591709226661136,1
CAMP-VGWW4F,15251,57,LinkedIn,Story,45-54,Male,Canada,25213,4929,165.3203068651236,0.6048863681434181,19.549438781580932,1
CAMP-YB8DAL,1254,53,YouTube,Video,55+,Male,US,17768,1429,1416.9059011164275,0.07057631697433589,8.042548401620891,1
CAMP-FYO175,4599,42,Instagram,Image,35-44,All,Canada,22022,4379,478.8432267884323,0.20883661792752703,19.884660793751703,1
CAMP-0CEHLX,6395,17,Instagram,Text,55+,Female,US,18281,4475,285.86395621579356,0.3498167496307642,24.478967233739947,1
CAMP-SLG6MM,12283,23,YouTube,Image,35-44,Male,UK,39669,4294,322.95856061222827,0.3096372482290958,10.824573344425117,1
CAMP-1ZXYVG,29399,49,Instagram,Text,45-54,All,US,12176,3063,41.41637470662267,2.4145039421813403,25.15604467805519,1
CAMP-IUI9KK,12974,11,LinkedIn,Image,18-24,Female,UK,23645,3072,182.24911361183905,0.5486995136392472,12.992175935715796,1
CAMP-HZLM72,32811,55,Facebook,Story,18-24,All,UK,40683,556,123.9919539178934,0.8065039451367894,1.3666642086375145,0
CAMP-JEYN93,5639,11,LinkedIn,Carousel,55+,All,US,12168,356,215.78294023763078,0.46342866535174226,2.925706771860618,1
CAMP-82KKZM,42505,12,LinkedIn,Carousel,18-24,Female,India,3367,1564,7.921421009293024,12.623997623997624,46.45084645084645,1
CAMP-PJRHT7,48454,54,Instagram,Video,45-54,Male,US,45030,3501,92.93350394188302,1.076038196757717,7.774816788807462,1
CAMP-ZEWVIY,2657,59,Facebook,Text,55+,All,Germany,44165,1041,1662.2130222054948,0.06016076078342579,2.357070078116155,1
CAMP-TWBOZD,38460,55,Instagram,Text,35-44,All,Germany,43208,2687,112.34529381175247,0.8901129420477689,6.218755785965562,1
CAMP-1AT7O7,16582,28,Google,Text,18-24,Male,India,47681,4475,287.5467374261247,0.34776955181309116,9.385289738050796,1
CAMP-5RH8LX,2300,43,Instagram,Story,25-34,Male,UK,49366,4776,2146.3478260869565,0.04659077097597537,9.674674877446016,1
CAMP-6DUT07,47040,37,Instagram,Text,18-24,Female,India,39878,2554,84.77465986394557,1.1795977732082852,6.404533828175936,1
CAMP-6G5G79,3061,54,Instagram,Carousel,35-44,Female,Germany,15554,1780,508.13459653707935,0.1967982512536968,11.444001543011444,1
CAMP-OR7875,47075,27,Facebook,Story,55+,Female,India,3107,4995,6.600106213489113,15.15127132281944,160.7660122304474,1
CAMP-AUD9K9,21457,28,Instagram,Image,35-44,Male,US,26710,76,124.48152118189869,0.8033320853612879,0.2845376263571696,0
CAMP-TR74QG,12069,13,Facebook,Text,25-34,All,India,37246,4327,308.60883254619273,0.3240347956827579,11.617354883745906,1
CAMP-EFQJG0,2969,40,YouTube,Text,45-54,All,UK,452,3320,15.223981138430448,6.56858407079646,734.5132743362832,1
CAMP-2U1G46,46860,4,Google,Image,18-24,Female,US,8655,2350,18.469910371318825,5.41421143847487,27.151935297515887,1
CAMP-3SDYGF,28743,9,Facebook,Text,55+,Male,Canada,15811,2774,55.00817590369829,1.81791158054519,17.544747327809755,1
CAMP-LIJI18,24836,20,YouTube,Image,45-54,All,Germany,27093,2263,109.08761475277822,0.9166943490938619,8.352711032369985,1
CAMP-K0AXYC,38567,29,Facebook,Story,35-44,Female,Germany,33685,3230,87.34150958072964,1.1449309781801988,9.588837761614963,1
CAMP-ELOS6Z,23428,36,Facebook,Carousel,55+,All,India,13829,2117,59.02765921120028,1.6941210499674597,15.308409863330683,1
CAMP-LE6KWH,25976,29,Google,Image,45-54,All,US,15205,393,58.53480135509701,1.7083853995396252,2.5846760933903323,1
CAMP-EF0VOT,21395,19,LinkedIn,Video,55+,Male,Canada,41028,1109,191.76443094180883,0.521473140294433,2.7030320756556496,1
CAMP-QTXHI1,4087,45,LinkedIn,Image,25-34,Male,US,33182,4363,811.8913628578418,0.12316918811403774,13.14869507564342,1
CAMP-5CQZCU,22499,46,Facebook,Text,25-34,All,Germany,23901,611,106.23138806169163,0.9413413664700222,2.5563783942094473,1
CAMP-CTSUFL,46314,53,Instagram,Story,18-24,Female,US,15416,2776,33.28583149803515,3.0042812662169176,18.00726517903477,1
CAMP-SEHUDS,34086,56,YouTube,Story,18-24,Male,Canada,28458,3999,83.48882239042422,1.197765127556399,14.052287581699346,1
CAMP-3QSQCQ,20980,26,Instagram,Image,25-34,All,India,6621,673,31.558627264061013,3.168705633590092,10.16462769974324,1
CAMP-30O30U,4835,27,Instagram,Carousel,55+,Male,UK,49781,3678,1029.5966907962772,0.09712540929270204,7.388361021273177,1
CAMP-BMC97C,44164,9,Facebook,Video,25-34,Male,US,14067,31,31.85173444434381,3.1395464562451125,0.22037392478851214,0
CAMP-7BO119,4655,54,Facebook,Story,18-24,Male,UK,39286,1401,843.9527389903329,0.11849004734511022,3.566155882502673,1
CAMP-XP9N56,42014,8,Facebook,Text,25-34,All,Germany,4200,4072,9.99666777740753,10.003333333333334,96.95238095238096,1
CAMP-NYXTXM,40918,55,Facebook,Text,25-34,Female,India,45883,617,112.13402414585268,0.8917899875770983,1.3447246256783558,0
CAMP-GTT0IA,45625,26,LinkedIn,Carousel,55+,Female,India,19473,4635,42.680547945205475,2.3429877265957995,23.80218764443075,1
CAMP-AKYTT3,19930,35,Facebook,Story,45-54,Female,US,4187,2787,21.008529854490718,4.759971339861476,66.56317172199667,1
CAMP-IMJ70E,17529,51,LinkedIn,Image,18-24,Male,India,30042,871,171.38456272462776,0.5834831236269223,2.8992743492443913,1
CAMP-3P15AH,6993,31,LinkedIn,Text,55+,All,US,45054,4197,644.2728442728443,0.15521374350779066,9.315488080969503,1
CAMP-DBVZB0,14473,45,Facebook,Carousel,25-34,Male,US,28952,3605,200.04145650521662,0.4998963802155292,12.451644100580271,1
CAMP-OIH5CS,47433,24,Google,Story,25-34,Female,UK,49654,1413,104.68239411380263,0.9552704716639143,2.845692189954485,1
CAMP-K30LVY,3536,28,YouTube,Story,45-54,Female,India,44971,2740,1271.804298642534,0.07862844944519802,6.09281536990505,1
CAMP-LKFXHK,8854,30,Instagram,Story,18-24,All,US,13883,941,156.79918680822226,0.6377584095656559,6.778073903335013,1
CAMP-C856WP,10777,52,LinkedIn,Story,18-24,Male,UK,1431,341,13.278277813862857,7.53109713487072,23.829489867225718,1
CAMP-R97Y2L,5995,23,YouTube,Story,35-44,Female,Canada,8204,2909,136.84737281067555,0.7307411019015114,35.45831301803998,1
CAMP-OFN1R4,19838,51,Google,Text,18-24,All,UK,34285,4134,172.8248815404779,0.5786203879247485,12.057751203150065,1
CAMP-KZ36U8,30846,9,Instagram,Carousel,45-54,Male,UK,13489,660,43.73014329248525,2.2867521684335386,4.8928756764771295,1
CAMP-UEIHX7,49477,19,Instagram,Story,35-44,Male,US,19172,2034,38.749317864866505,2.580690590444398,10.609221781765074,1
CAMP-4D0GJY,48504,22,LinkedIn,Video,35-44,Female,Germany,24006,1561,49.492825333993075,2.02049487628093,6.502541031408815,1
CAMP-V5G10U,32452,43,Facebook,Video,25-34,Female,Germany,17314,3458,53.35264390484408,1.874321358438258,19.97227677024373,1
CAMP-R5L8A7,39890,51,Google,Carousel,25-34,Male,Germany,44824,1657,112.36901479067436,0.8899250401570588,3.6966803498126004,1
CAMP-8E9RIV,42019,22,LinkedIn,Image,18-24,Male,UK,3199,2976,7.613222589780813,13.135042200687716,93.02907158487027,1
CAMP-H6T1NT,5700,56,Google,Image,35-44,Female,US,24710,1050,433.50877192982455,0.23067583974099554,4.2492917847025495,1
CAMP-MJSRD9,29224,24,Facebook,Image,25-34,Male,India,40710,454,139.30331234601698,0.7178580201424711,1.115205109309752,0
CAMP-Q46NOU,27743,30,Facebook,Video,45-54,Female,UK,20578,1705,74.17366542911725,1.3481873845854797,8.285547672271358,1
CAMP-HFJ7UP,40864,42,LinkedIn,Image,25-34,Male,UK,48954,2785,119.79737666405639,0.834742819790007,5.689014176573927,1
CAMP-FLN4RX,9107,51,Facebook,Text,25-34,Female,US,1218,819,13.37432744043044,7.477011494252873,67.24137931034483,1
CAMP-YJ38XR,45814,9,YouTube,Story,35-44,All,Canada,45174,4869,98.60304710350547,1.0141674414486208,10.77832381458361,1
CAMP-G2GZR7,37510,3,Instagram,Video,35-44,Female,UK,35947,13,95.83311117035457,1.0434806798898377,0.03616435307536095,0
CAMP-TXCB48,44180,34,LinkedIn,Carousel,55+,Female,Canada,15082,3980,34.137618832050705,2.9293197188701763,26.38907306723246,1
CAMP-Y1O4IZ,40547,15,Google,Carousel,45-54,All,Canada,35344,921,87.16797790218759,1.1472102761430512,2.605817111815301,1
CAMP-ASNWYW,8308,32,YouTube,Story,35-44,Male,Germany,43877,4921,528.129513721714,0.18934749413132165,11.215443170681679,1
CAMP-RRATAT,18689,25,LinkedIn,Video,18-24,All,US,3566,2419,19.080742682861576,5.240886146943354,67.83510936623668,1
CAMP-J9A3Y3,43584,53,Facebook,Image,45-54,Female,Canada,19801,1315,45.43180983847284,2.2011009544972477,6.641078733397303,1
CAMP-6DDFGS,17553,58,Facebook,Image,45-54,Male,US,30423,3678,173.32079986327125,0.5769647963711666,12.08953752095454,1
CAMP-3JONOU,36312,21,Facebook,Text,35-44,All,Germany,30320,2018,83.49856796651245,1.1976253298153035,6.655672823218997,1
CAMP-9IY4X4,43625,34,Facebook,Text,45-54,Male,US,10436,1229,23.922063037249284,4.180241471828286,11.776542736680721,1
CAMP-1DNTCA,47302,32,Google,Image,35-44,Male,UK,36373,4793,76.89526869899794,1.3004701289417975,13.177356830616116,1
CAMP-GRP2U4,32735,31,YouTube,Carousel,25-34,All,Canada,48830,2435,149.16755765999693,0.670387057137006,4.986688511161171,1
CAMP-DTBH55,33928,51,Instagram,Carousel,55+,Male,US,14207,2869,41.87396840367838,2.3881185331174772,20.194270430069682,1
CAMP-RBC76U,18811,47,Google,Text,25-34,All,India,37929,2516,201.63202381585245,0.4959529647499275,6.633446703050436,1
CAMP-B7L8V1,3520,31,Google,Story,35-44,Female,US,39570,1439,1124.1477272727273,0.08895628001010866,3.63659337882234,1
CAMP-ZOCFI4,31316,32,Instagram,Image,35-44,Male,Canada,49647,4165,158.53557287009835,0.6307732592100228,8.389227949322214,1
CAMP-O6L1F9,401,18,Instagram,Text,25-34,Female,Germany,39182,3544,9771.072319201996,0.010234291256189066,9.044969628911234,1
CAMP-0S9BP4,45336,42,Facebook,Text,18-24,Female,Germany,3676,3176,8.10834656784895,12.33297062023939,86.39825897714908,1
CAMP-M18O1B,49858,21,Google,Image,18-24,Male,Canada,20450,1782,41.01648682257611,2.438044009779951,8.713936430317847,1
CAMP-J9RM7P,799,20,LinkedIn,Image,18-24,All,UK,36693,2264,4592.365456821026,0.021775270487558934,6.170114190717575,1
CAMP-YXDW2Z,290,3,Instagram,Carousel,35-44,Male,UK,38315,1970,13212.068965517241,0.007568837269998695,5.1415894558267,1
CAMP-CFZW0L,10592,16,Instagram,Story,45-54,Female,Germany,16029,212,151.3311933534743,0.6608022958387922,1.322602782456797,0
CAMP-DALMJE,35843,53,YouTube,Story,35-44,Female,Germany,11579,508,32.304773595960164,3.0955177476466016,4.387252785214613,1
CAMP-GQTOAM,6202,49,LinkedIn,Image,45-54,All,Canada,16695,332,269.18735891647856,0.37148846960167714,1.9886193471099132,0
CAMP-DVLNKN,19878,52,LinkedIn,Video,25-34,Male,UK,26474,551,133.18241271757722,0.7508498904585631,2.0812873007479036,1
CAMP-D669UG,26741,4,Instagram,Text,55+,Female,Germany,13432,942,50.229983919823496,1.9908427635497319,7.013103037522335,1
CAMP-NEKRCP,34684,56,Facebook,Text,45-54,Female,UK,4075,728,11.748933225694845,8.511411042944784,17.865030674846626,1
CAMP-PRCJIW,32845,30,YouTube,Image,18-24,Female,Germany,43276,4976,131.7582584868321,0.7589657084758296,11.498290045290691,1
CAMP-VHDK8L,23193,51,LinkedIn,Video,35-44,All,US,13894,2863,59.90600612253697,1.6692817043328054,20.606016985749246,1
CAMP-W2LM34,669,52,Instagram,Carousel,25-34,Female,India,4225,3244,631.5396113602392,0.1583431952662722,76.7810650887574,1
CAMP-9EL8HL,38310,32,LinkedIn,Image,18-24,Female,US,30569,649,79.79378752283999,1.253230396807223,2.1230658510255487,1
CAMP-88KZRU,34763,40,YouTube,Image,25-34,Male,Germany,9224,2738,26.533958519115153,3.768755420641804,29.683434518647005,1
CAMP-IN3OEU,36731,53,YouTube,Text,55+,Male,India,3493,2748,9.509678473224252,10.515602633839107,78.67162897223018,1
CAMP-VTYT8Q,45781,6,Google,Image,35-44,Female,India,21445,1010,46.84257661475284,2.1348099790160875,4.70972254604803,1
CAMP-ZPKY32,7555,3,Instagram,Image,35-44,Female,Germany,10775,1551,142.620780939775,0.7011600928074246,14.394431554524362,1
CAMP-ORWIXZ,4114,10,YouTube,Image,55+,Male,Germany,33511,804,814.5600388915897,0.12276565903733103,2.39921219897944,1
CAMP-2C9ROS,11193,31,Google,Text,35-44,All,UK,41165,4081,367.77450192084336,0.27190574517186933,9.91376169075671,1
CAMP-7YT2M6,18170,57,Google,Carousel,45-54,All,Germany,44598,4310,245.4485415520088,0.40741737297636665,9.66411049822862,1
CAMP-TWD1XM,35877,41,LinkedIn,Carousel,25-34,All,Canada,31401,4265,87.52404047161134,1.1425432311072896,13.582369988216936,1
CAMP-XB9YO1,16638,5,LinkedIn,Image,18-24,All,Germany,18246,3402,109.66462315182113,0.9118710950345281,18.645182505754686,1
CAMP-8PAJSS,10829,34,Google,Text,55+,All,Canada,46659,4242,430.8708098624065,0.23208812876401122,9.091493602520414,1
CAMP-UUQO1V,34277,12,LinkedIn,Carousel,45-54,All,Germany,14304,4612,41.730606529159495,2.396322706935123,32.242729306487696,1
CAMP-SMADO8,45117,12,YouTube,Carousel,18-24,All,UK,14071,3162,31.187800607309885,3.206381920261531,22.47175040864189,1
CAMP-E7FLQH,884,21,Facebook,Carousel,18-24,All,Canada,46186,4549,5224.660633484163,0.01913999913393669,9.849304984194344,1
CAMP-RRPZLK,27851,48,YouTube,Text,55+,Male,US,5774,4156,20.731751104089618,4.823519224108071,71.97783165916177,1
CAMP-3E4XYF,40964,36,Google,Text,45-54,All,Canada,28740,528,70.15916414412655,1.425330549756437,1.837160751565762,0
CAMP-9IGFU8,40428,35,Google,Image,18-24,All,UK,1457,3299,3.603937864846146,27.74742621825669,226.42415923129718,0
CAMP-IOGXPB,12633,25,YouTube,Story,18-24,All,Canada,8082,1024,63.975302778437424,1.5631031922791387,12.670131155654541,1
CAMP-WHVNZH,40211,57,LinkedIn,Carousel,45-54,Female,Germany,47390,3735,117.85332371739077,0.8485123443764507,7.881409580080185,1
CAMP-13CD5G,40074,30,LinkedIn,Story,35-44,Male,Germany,17844,433,44.527623895792786,2.2457969065232013,2.426585967271912,1
CAMP-LQJ5SX,5901,34,Google,Text,18-24,Male,UK,19931,1177,337.7563124894086,0.29607144649039185,5.905373538708544,1
CAMP-VWVM4W,19290,52,Instagram,Text,25-34,Male,India,20806,401,107.85899429756351,0.9271364029606844,1.9273286551956166,0
CAMP-3ZKWDE,49789,9,LinkedIn,Text,45-54,All,Germany,40212,2105,80.76482757235533,1.2381627374912962,5.234755794290261,1
CAMP-EKGYSP,38854,31,YouTube,Story,18-24,All,US,29466,3051,75.83775158284861,1.3186044933143284,10.354306658521686,1
CAMP-ENGWYX,29692,10,LinkedIn,Text,55+,Female,UK,49753,2234,167.5636535093628,0.5967881333788917,4.49018149659317,1
CAMP-9TRFLQ,10747,3,YouTube,Image,25-34,Male,Canada,44404,2446,413.1757699823207,0.24202774524817583,5.508512746599405,1
CAMP-BMAE38,8816,59,Google,Text,18-24,All,Canada,25802,4701,292.6724137931035,0.34167893961708395,18.219517866832028,1
CAMP-SRYO4R,23455,57,LinkedIn,Video,25-34,Male,US,12976,2836,55.32295885738648,1.8075678175092478,21.8557336621455,1
CAMP-CB1KJT,22109,5,YouTube,Story,25-34,Female,Germany,33815,2514,152.94676376136417,0.6538222682241609,7.434570456897827,1
CAMP-GQ01TE,24476,26,Google,Video,35-44,Female,UK,14440,1774,58.996568066677554,1.6950138504155126,12.285318559556787,1
CAMP-E13N3B,45191,25,Instagram,Text,25-34,Female,US,38917,1097,86.11670465358146,1.1612148932343191,2.8188195390189374,1
CAMP-ZT9D31,4880,10,YouTube,Image,35-44,Male,Germany,21989,929,450.594262295082,0.2219291463913775,4.22483969257356,1
CAMP-K9QM3P,2468,56,Instagram,Carousel,45-54,All,UK,27357,1952,1108.4683954619125,0.09021457031107212,7.135285301750923,1
